"Server","CPU %","Mem %"
"SRV003606","64","85,79"
"SRV003606","56","85,84"
"SRV003606","59","85,93"
"SRV003606","36","86,1"
"SRV003606","19","86,24"
"SRV003606","64","86,31"
"SRV003606","99","85,81"
"SRV003606","97","85,89"
"SRV003606","100","85,89"
"SRV003606","100","86,02"
"SRV003606","71","85,99"
"SRV003606","12","86,05"
"SRV003606","14","86,08"
"SRV003606","20","85,58"
"SRV003606","10","85,5"
"SRV003606","4","85,55"
"SRV003606","29","85,44"
"SRV003606","14","85,71"
"SRV003606","17","85,7"
"SRV003606","20","84,84"
"SRV003606","14","85,03"
"SRV003606","5","84,94"
"SRV003606","4","85,05"
"SRV003606","16","85,03"
"SRV003606","10","84,97"
